,id,year,npisos,uso,uso_de_interes,uso_PB,uso_igual,tipoestruc,irreg_planta,irreg_vertical,columna_corta,esquina,golpeteoI,golpeteoD,pbdebil,cam_rig_elev,apendices
0,026-214.25_pic2.jpeg,1982,2,6,1,6,0,4,2,2,0,0,1,4,0,0,0
1,026-214.25_pic3.jpeg,1982,2,6,1,6,0,4,2,2,0,0,1,4,0,0,0
2,026-214.25_pic4.jpeg,1982,2,6,1,6,0,4,2,2,0,0,1,4,0,0,0
3,026-214.16_pic0.jpeg,1999,3,11,1,11,0,8,2,0,0,0,0,2,0,0,1
4,026-214.16_pic1.jpeg,1999,3,11,1,11,0,8,2,0,0,0,0,2,0,0,1
5,026-214.16_pic2.jpeg,1999,3,11,1,11,0,8,2,0,0,0,0,2,0,0,1
6,026-214.16_pic3.jpeg,1999,3,11,1,11,0,8,2,0,0,0,0,2,0,0,1
7,026-214.16_pic4.jpeg,1999,3,11,1,11,0,8,2,0,0,0,0,2,0,0,1
8,026-214.21_pic0.jpeg,1987,2,34,0,34,0,4,0,1,0,1,4,3,0,1,0
9,026-214.21_pic1.jpeg,1987,2,34,0,34,0,4,0,1,0,1,4,3,0,1,0
10,026-214.21_pic2.jpeg,1987,2,34,0,34,0,4,0,1,0,1,4,3,0,1,0
11,026-214.21_pic3.jpeg,1987,2,34,0,34,0,4,0,1,0,1,4,3,0,1,0
12,026-214.21_pic4.jpeg,1987,2,34,0,34,0,4,0,1,0,1,4,3,0,1,0
13,026-214.22_pic0.jpeg,1955,3,33,1,33,0,5,0,0,0,0,4,4,1,0,1
14,026-214.22_pic2.jpeg,1955,3,33,1,33,0,5,0,0,0,0,4,4,1,0,1
15,026-214.22_pic3.jpeg,1955,3,33,1,33,0,5,0,0,0,0,4,4,1,0,1
16,026-214.22_pic4.jpeg,1955,3,33,1,33,0,5,0,0,0,0,4,4,1,0,1
17,026-214.23_pic0.jpeg,1955,2,11,1,11,0,5,1,0,0,0,4,4,0,0,0
18,026-214.23_pic2.jpeg,1955,2,11,1,11,0,5,1,0,0,0,4,4,0,0,0
19,026-214.23_pic3.jpeg,1955,2,11,1,11,0,5,1,0,0,0,4,4,0,0,0
20,026-214.23_pic4.jpeg,1955,2,11,1,11,0,5,1,0,0,0,4,4,0,0,0
21,026-215.37_pic2.jpeg,1981,3,32,1,32,0,5,2,1,0,0,4,3,0,0,1
22,026-215.39_pic3.jpeg,1976,2,6,1,6,0,5,2,0,0,0,4,0,0,1,1
23,026-215.38_pic0.jpeg,1990,2,6,1,6,0,5,2,0,0,0,1,4,0,0,1
24,026-214.24_pic0.jpeg,1952,4,14,1,14,0,4,2,0,0,0,4,4,0,0,1
25,026-214.24_pic2.jpeg,1952,4,14,1,14,0,4,2,0,0,0,4,4,0,0,1
26,026-214.24_pic4.jpeg,1952,4,14,1,14,0,4,2,0,0,0,4,4,0,0,1
27,026-214.20_pic0.jpeg,1955,6,14,1,14,0,3,2,0,0,0,3,4,1,0,0
28,026-214.20_pic2.jpeg,1955,6,14,1,14,0,3,2,0,0,0,3,4,1,0,0
29,026-214.20_pic3.jpeg,1955,6,14,1,14,0,3,2,0,0,0,3,4,1,0,0
30,026-214.20_pic4.jpeg,1955,6,14,1,14,0,3,2,0,0,0,3,4,1,0,0
31,026-215.47_pic2.jpeg,1981,2,6,1,6,0,5,2,0,0,0,3,2,0,0,0
32,026-215.47_pic4.jpeg,1981,2,6,1,6,0,5,2,0,0,0,3,2,0,0,0
33,026-214.19_pic0.jpeg,1950,4,33,1,33,0,4,1,0,0,0,4,0,0,1,1
34,026-214.19_pic1.jpeg,1950,4,33,1,33,0,4,1,0,0,0,4,0,0,1,1
35,026-214.19_pic2.jpeg,1950,4,33,1,33,0,4,1,0,0,0,4,0,0,1,1
