id,label
026-177.07_pic4.jpeg,_2
027-099.05_pic2.jpeg,_0
026-108.23_pic0.jpeg,_2
026-178.03_pic2.jpeg,_1
010-059.02_pic4.jpeg,_0
060-297.15_pic4.jpeg,_2
373-555.15_pic3.jpeg,_2
073-879.06_pic2.jpeg,_2
026-242.38_pic0.jpeg,_0
073-939.10_pic1.jpeg,_0
373-103.37_pic0.jpeg,_0
073-945.14_pic3.jpeg,_0
011-237.13_pic0.jpeg,_1
026-113.43_pic1.jpeg,_0
073-872.03_pic3.jpeg,_0
045-163.13_pic4.jpeg,_0
011-147.09_pic4.jpeg,_0
073-873.03_pic4.jpeg,_0
373-094.51_pic0.jpeg,_2
026-172.54_pic0.jpeg,_0
052-384.10_pic2.jpeg,_0
010-052.19_pic3.jpeg,_1
373-094.51_pic2.jpeg,_2
010-091.23_pic0.jpeg,_2
073-926.10_pic4.jpeg,_0
010-019.23_pic1.jpeg,_1
010-184.30_pic0.jpeg,_0
027-141.13_pic2.jpeg,_0
373-613.01_pic3.jpeg,_2
008-012.05_pic4.jpeg,_1
026-108.18_pic2.jpeg,_1
010-043.02_pic3.jpeg,_1
073-875.26_pic3.jpeg,_0
002-035.15_pic1.jpeg,_0
008-041.42_pic0.jpeg,_1
073-938.30_pic1.jpeg,_0
307-129.15_pic0.jpeg,_0
008-039.21_pic2.jpeg,_1
010-055.28_pic4.jpeg,_1
010-052.08_pic0.jpeg,_1
026-102.06_pic0.jpeg,_2
026-174.30_pic4.jpeg,_1
373-555.16_pic4.jpeg,_2
073-835.06_pic0.jpeg,_2
010-026.12_pic3.jpeg,_2
373-093.02_pic4.jpeg,_0
045-546.07_pic2.jpeg,_0
026-178.03_pic1.jpeg,_1
160-892.08_pic0.jpeg,_2
026-185.29_pic3.jpeg,_1
008-009.14_pic0.jpeg,_1
026-177.09_pic0.jpeg,_2
010-003.13_pic1.jpeg,_0
010-039.11_pic2.jpeg,_1
373-723.03_pic2.jpeg,_2
