,id,label
133,026-214.35_pic1.jpeg,_1
23121,073-938.04_pic4.jpeg,_2
10049,010-089.21_pic3.jpeg,_0
17322,026-177.16_pic4.jpeg,_2
11440,010-048.04_pic4.jpeg,_0
16511,001-096.15_pic0.jpeg,_0
7163,011-221.08_pic3.jpeg,_1
4039,061-526.30_pic0.jpeg,_0
13499,011-230.03_pic0.jpeg,_0
21944,073-941.22_pic0.jpeg,_0
1703,026-120.07_pic0.jpeg,_0
15487,008-024.17_pic4.jpeg,_0
10645,027-140.16_pic0.jpeg,_0
7486,011-198.05_pic0.jpeg,_1
10541,010-065.27_pic2.jpeg,_1
20724,052-305.16_pic2.jpeg,_1
23914,373-103.35_pic0.jpeg,_2
23588,073-932.17_pic1.jpeg,_1
4528,008-082.22_pic2.jpeg,_1
24899,073-736.37_pic4.jpeg,_0
24508,160-897.05_pic0.jpeg,_2
16527,008-139.56_pic0.jpeg,_1
15907,008-055.19_pic0.jpeg,_1
12455,045-728.32_pic3.jpeg,_0
10395,010-076.14_pic0.jpeg,_0
12018,045-150.26_pic2.jpeg,_0
8745,011-226.10_pic1.jpeg,_0
5612,008-008.10_pic0.jpeg,_0
2503,026-112.10_pic2.jpeg,_1
11712,027-098.23_pic4.jpeg,_0
5634,008-141.12_pic2.jpeg,_0
41,026-215.49_pic3.jpeg,_0
22683,373-530.01_pic1.jpeg,_2
9012,010-100.19_pic1.jpeg,_0
24962,073-736.02_pic3.jpeg,_0
814,026-172.66_pic0.jpeg,_0
50,026-215.40_pic3.jpeg,_0
15415,008-032.28_pic1.jpeg,_1
2019,026-111.42_pic0.jpeg,_1
16279,008-003.11_pic2.jpeg,_1
16542,008-016.14_pic3.jpeg,_1
8281,002-030.16_pic0.jpeg,_1
7926,011-143.07_pic1.jpeg,_0
6597,001-072.06_pic4.jpeg,_1
5374,008-079.28_pic2.jpeg,_0
11196,027-144.16_pic3.jpeg,_1
10290,010-076.04_pic4.jpeg,_1
13845,010-004.11_pic4.jpeg,_0
6848,011-239.09_pic1.jpeg,_0
3903,045-512.20_pic0.jpeg,_1
25338,073-874.02_pic2.jpeg,_1
19656,052-275.07_pic0.jpeg,_1
13244,010-071.02_pic1.jpeg,_1
7958,011-141.05_pic1.jpeg,_0
4401,008-083.03_pic1.jpeg,_1
13648,011-194.03_pic0.jpeg,_0
8619,011-036.21_pic0.jpeg,_1
14535,010-031.17_pic3.jpeg,_0
1532,025-110.17_pic2.jpeg,_0
15772,008-042.03_pic0.jpeg,_1
16082,001-095.03_pic2.jpeg,_0
20045,052-286.05_pic2.jpeg,_1
23154,073-948.25_pic1.jpeg,_0
17474,026-184.13_pic2.jpeg,_1
9683,027-169.22_pic2.jpeg,_1
20389,052-295.19_pic0.jpeg,_0
